keys,en,ru
CUSTOM_SEED,Map Generator seed,Зерно генератора карт
PLAY,Play,Играть
CREDITS,Credits,Титры
CUSTOM_ENEMYTYPE_RAND,Randomize enemy spawn,Случайное появление противников
TIME_LIMITED,Time limited game,Игра ограничена по времени
ZEN_MODE,"Safe mode - do what you want - no threats, no tasks","Безопасный режим - делай, что хочешь - никаких заданий и угроз"
HELP_TITLE,Help (NOT for safe mode),Справка (НЕ для безопасного режима)
HELP_TASKS,"You need to do tasks.\nSome tasks require to come close to the subject of testing (eg. 812),\nsome tasks require to bring Class-D (if they exist, if not - do it on your own) (for example - 162 and 266)\nand a third type of task is to bring something to special place (as for 347 amd 914).\nI recommend at first doing tasks at first zone, then the second... e.t.c.","Вы должны делать задания\nНекоторые задания требуют подойти близко к объекту тестирования (например 812)\nНекоторые задания требуют притащить с собой Класса-Д (если существуют, иначе делай все сам)(например 162 и 266)\nи третий тип задач, которые требуют принести нужного SCP в специальное место (например 347 и 914)\nЯ рекоммендую сначала делать задачи в первой зоне, затем в второй... и.т.д."
HELP_EVENTS,"Also the game has events.\nThere are only three events implemented right now - Chaos Insurgency invasion, SCP-023 critical state and SCP-347 containment breach.\nFor the first one, you need to call MTF (maybe more then one time), just when they appear.\nFor SCP-023 - if you round took long (> 2 minutes), you need to go to Maintenance Zone and go to SCP-023, replacing his ""eyes"" as soon, as possible.\nFor the later one you need to catch SCP-347 (which was not detected before) as soon as possible\n(She is marked by the red radar, because this woman is invisible).","Также у игры есть события\nПока что присутствуют только 3 события - налет Повстанцев Хаоса, критическое состояние SCP-023 и нарушение условий содержания SCP-347\nДля первого случая, нужно вызвать МОГ (возможно несколько раз), когда неприятели появятся.\nДля SCP-023 - если вы задержались больше чем на 2 минуты, Вам стоит пойти в Техническую зону и заменить ""глаза"" SCP-023 как можно скорее.\nДля последнего, нужно повести за собой SCP-347 как можно раньше. (Она подсвечивается красным радаром, так как эта женщина невидима)"
CASUAL_MODE,Casual mode,Обычная игра
STORY_MODE,Story mode,Кампания
HELP_BUTTON,Help,Справка
GAME_SETTINGS_INFO,"These settings only work in ""casual mode""","Эти настройки работают только в ""свободной игре""."
STORY_MAIN,Main Story\nAuthor: Yni Viar,Основная история\nАвтор: Yni Viar
GLOW,Glow,Свечение
REFLECTION_PROBE,Reflection probe,Базовые отражения
REFLECTION_PROBE_WARNING,It is NOT recommended to disable reflection probe\nbecause character will appear fully dark.\nUse this at last resort for performance.,"Не рекомендуется отключать базовые отражения,\nтак как персонажи будут полностью темными.\nИспользуйте только как последнее средство для производительности."
MUSIC_VOLUME,Music volume,Громкость музыки